,codigo,sintomas
59,A07.9,Sintomas no encontrados
60,A08,Sintomas no encontrados
61,A08.0,Sintomas no encontrados
62,A08.1,Sintomas no encontrados
63,A08.2,Sintomas no encontrados
64,A08.3,Sintomas no encontrados
65,A08.4,Sintomas no encontrados
66,A08.5,Sintomas no encontrados
67,A09,Sintomas no encontrados
68,A09.0,Sintomas no encontrados
69,A09.9,Sintomas no encontrados
70,A15,Sintomas no encontrados
71,A15.0,Sintomas no encontrados
72,A15.1,Sintomas no encontrados
73,A15.2,Sintomas no encontrados
74,A15.3,Sintomas no encontrados
75,A15.4,Sintomas no encontrados
76,A15.5,Sintomas no encontrados
77,A15.6,Sintomas no encontrados
78,A15.7,Sintomas no encontrados
79,A15.8,Sintomas no encontrados
80,A15.9,Sintomas no encontrados
81,A16,Sintomas no encontrados
82,A16.0,Sintomas no encontrados
83,A16.1,Sintomas no encontrados
84,A16.2,Sintomas no encontrados
85,A16.3,Sintomas no encontrados
86,A16.4,Sintomas no encontrados
87,A16.5,Sintomas no encontrados
88,A16.7,Sintomas no encontrados
89,A16.8,Sintomas no encontrados
90,A16.9,Sintomas no encontrados
91,A17,Sintomas no encontrados
92,A17.0,Fever[1]
93,A17.1,Sintomas no encontrados
94,A17.8,Sintomas no encontrados
95,A17.9,Sintomas no encontrados
96,A18,Sintomas no encontrados
97,A18.0,Sintomas no encontrados
98,A18.1,Sintomas no encontrados
99,A18.2,Sintomas no encontrados
100,A18.3,Sintomas no encontrados
101,A18.4,Sintomas no encontrados
102,A18.5,Sintomas no encontrados
103,A18.6,Sintomas no encontrados
104,A18.7,Sintomas no encontrados
105,A18.8,Sintomas no encontrados
106,A19,Sintomas no encontrados
107,A19.0,Sintomas no encontrados
108,A19.1,Sintomas no encontrados
109,A19.2,Sintomas no encontrados
110,A19.8,Sintomas no encontrados
111,A19.9,Sintomas no encontrados
112,A20,Sintomas no encontrados
113,A20.0,"Fever, headaches, vomiting, swollen lymph nodes[1][2]"
114,A20.1,Sintomas no encontrados
115,A20.2,"Fever, headache, shortness of breath, cough[1]"
116,A20.3,Sintomas no encontrados
117,A20.7,Sintomas no encontrados
118,A20.8,Sintomas no encontrados
119,A20.9,Sintomas no encontrados
120,A21,"Fever, skin ulcer, large lymph nodes[3]"
121,A21.0,Sintomas no encontrados
122,A21.1,Sintomas no encontrados
123,A21.2,Sintomas no encontrados
124,A21.3,Sintomas no encontrados
125,A21.7,Sintomas no encontrados
126,A21.8,Sintomas no encontrados
127,A21.9,Sintomas no encontrados
128,A22,"Skin form: small blister with surrounding swellingInhalational form: fever, chest pain, shortness of breathIntestinal form: nausea, vomiting, diarrhea, abdominal painInjection form: fever, abscess[1]"
129,A22.0,"Skin form: small blister with surrounding swellingInhalational form: fever, chest pain, shortness of breathIntestinal form: nausea, vomiting, diarrhea, abdominal painInjection form: fever, abscess[1]"
130,A22.1,"Skin form: small blister with surrounding swellingInhalational form: fever, chest pain, shortness of breathIntestinal form: nausea, vomiting, diarrhea, abdominal painInjection form: fever, abscess[1]"
131,A22.2,"Skin form: small blister with surrounding swellingInhalational form: fever, chest pain, shortness of breathIntestinal form: nausea, vomiting, diarrhea, abdominal painInjection form: fever, abscess[1]"
132,A22.7,Sintomas no encontrados
133,A22.8,Sintomas no encontrados
134,A22.9,Sintomas no encontrados
135,A23,coughing
136,A23.0,Sintomas no encontrados
137,A23.1,Sintomas no encontrados
138,A23.2,Sintomas no encontrados
139,A23.3,Sintomas no encontrados
140,A23.8,Sintomas no encontrados
141,A23.9,Sintomas no encontrados
142,A24,Sintomas no encontrados
143,A24.0,Sintomas no encontrados
144,A24.1,Sintomas no encontrados
145,A24.2,Sintomas no encontrados
146,A24.3,Sintomas no encontrados
147,A24.4,Sintomas no encontrados
148,A25,Sintomas no encontrados
149,A25.0,Sintomas no encontrados
150,A25.1,Sintomas no encontrados
151,A25.9,Sintomas no encontrados
152,A26,Sintomas no encontrados
153,A26.0,Sintomas no encontrados
154,A26.7,Sintomas no encontrados
155,A26.8,Sintomas no encontrados
156,A26.9,Sintomas no encontrados
157,A27,"None, headaches, muscle pains, fevers[5]"
158,A27.0,"None, headaches, muscle pains, fevers[5]"
159,A27.8,Sintomas no encontrados
160,A27.9,Sintomas no encontrados
161,A28,Sintomas no encontrados
162,A28.0,Sintomas no encontrados
163,A28.1,"Bump at the site of the bite or scratch, swollen and painful lymph nodes[2]"
164,A28.2,Sintomas no encontrados
165,A28.8,Sintomas no encontrados
166,A28.9,Sintomas no encontrados
167,A30,Sintomas no encontrados
168,A30.0,Decreased ability to feel pain[3]
169,A30.1,Sintomas no encontrados
170,A30.2,Sintomas no encontrados
171,A30.3,Sintomas no encontrados
172,A30.4,Sintomas no encontrados
173,A30.5,Sintomas no encontrados
174,A30.8,Sintomas no encontrados
175,A30.9,Sintomas no encontrados
176,A31,Sintomas no encontrados
177,A31.0,Sintomas no encontrados
178,A31.1,Sintomas no encontrados
179,A31.8,Sintomas no encontrados
180,A31.9,Sintomas no encontrados
181,A32,"Diarrhea, fever, headache"
182,A32.0,Sintomas no encontrados
183,A32.1,Sintomas no encontrados
184,A32.7,Sintomas no encontrados
185,A32.8,Sintomas no encontrados
186,A32.9,Sintomas no encontrados
187,A33,"fever, cramped-up jaw, Muscle spasms, headache, seizures, sweating, and trouble swallowing[1]"
188,A34,"fever, cramped-up jaw, Muscle spasms, headache, seizures, sweating, and trouble swallowing[1]"
189,A35,Sintomas no encontrados
190,A36,"Sore throat, fever, barking cough[2]"
191,A36.0,Sintomas no encontrados
192,A36.1,Sintomas no encontrados
193,A36.2,Sintomas no encontrados
194,A36.3,Sintomas no encontrados
195,A36.8,Sintomas no encontrados
196,A36.9,Sintomas no encontrados
197,A37,"Runny nose, fever, cough[1]"
198,A37.0,Sintomas no encontrados
199,A37.1,Sintomas no encontrados
200,A37.8,Sintomas no encontrados
201,A37.9,Sintomas no encontrados
202,A38,"Sore throat, fever, headaches, swollen lymph nodes, characteristic rash[1]"
203,A39,Sintomas no encontrados
204,A39.0,"Flu-like symptoms, stiff neck, altered mental status, seizures, purpura"
205,A39.1,Sintomas no encontrados
206,A39.2,Sintomas no encontrados
207,A39.3,Sintomas no encontrados
208,A39.4,Sintomas no encontrados
209,A39.5,Sintomas no encontrados
210,A39.8,Sintomas no encontrados
211,A39.9,Sintomas no encontrados
212,A40,Sintomas no encontrados
213,A40.0,Sintomas no encontrados
214,A40.1,Sintomas no encontrados
215,A40.2,Sintomas no encontrados
216,A40.3,Sintomas no encontrados
217,A40.8,Sintomas no encontrados
218,A40.9,Sintomas no encontrados
219,A41,Sintomas no encontrados
220,A41.0,Sintomas no encontrados
221,A41.1,Sintomas no encontrados
222,A41.2,Sintomas no encontrados
223,A41.3,Sintomas no encontrados
224,A41.4,Sintomas no encontrados
225,A41.5,Sintomas no encontrados
226,A41.8,Sintomas no encontrados
227,A41.9,Sintomas no encontrados
228,A42,Sintomas no encontrados
229,A42.0,Sintomas no encontrados
230,A42.1,Sintomas no encontrados
231,A42.2,Sintomas no encontrados
232,A42.7,Sintomas no encontrados
233,A42.8,Sintomas no encontrados
234,A42.9,Sintomas no encontrados
235,A43,Sintomas no encontrados
236,A43.0,Sintomas no encontrados
237,A43.1,Sintomas no encontrados
238,A43.8,Sintomas no encontrados
239,A43.9,Sintomas no encontrados
240,A44,Sintomas no encontrados
241,A44.0,Sintomas no encontrados
242,A44.1,Sintomas no encontrados
243,A44.8,Sintomas no encontrados
244,A44.9,Sintomas no encontrados
245,A46,Sintomas no encontrados
246,A48,Sintomas no encontrados
247,A48.0,Sintomas no encontrados
248,A48.1,"Cough, shortness of breath, fever, muscle pains, headaches[2]"
249,A48.2,Sintomas no encontrados
250,A48.3,"Fever, rash, skin peeling, low blood pressure[1]"
251,A48.4,Sintomas no encontrados
252,A48.8,Sintomas no encontrados
253,A49,Sintomas no encontrados
254,A49.0,Sintomas no encontrados
255,A49.1,Sintomas no encontrados
256,A49.2,Sintomas no encontrados
257,A49.3,Sintomas no encontrados
258,A49.8,Sintomas no encontrados
259,A49.9,Sintomas no encontrados
260,A50,Sintomas no encontrados
261,A50.0,Sintomas no encontrados
262,A50.1,Sintomas no encontrados
263,A50.2,Sintomas no encontrados
264,A50.3,Sintomas no encontrados
265,A50.4,Sintomas no encontrados
266,A50.5,Sintomas no encontrados
267,A50.6,Sintomas no encontrados
268,A50.7,Sintomas no encontrados
269,A50.9,Sintomas no encontrados
270,A51,"Firm, painless, non-itchy skin ulcer[1]"
271,A51.0,Sintomas no encontrados
272,A51.1,Sintomas no encontrados
273,A51.2,Sintomas no encontrados
274,A51.3,Sintomas no encontrados
275,A51.4,Sintomas no encontrados
276,A51.5,Sintomas no encontrados
277,A51.9,Sintomas no encontrados
278,A52,"Firm, painless, non-itchy skin ulcer[1]"
279,A52.0,"Firm, painless, non-itchy skin ulcer[1]"
280,A52.1,"Firm, painless, non-itchy skin ulcer[1]"
281,A52.2,"Firm, painless, non-itchy skin ulcer[1]"
282,A52.3,Sintomas no encontrados
283,A52.7,Sintomas no encontrados
284,A52.8,Sintomas no encontrados
285,A52.9,Sintomas no encontrados
286,A53,Sintomas no encontrados
287,A53.0,Sintomas no encontrados
288,A53.9,Sintomas no encontrados
289,A54,"None, burning with urination, vaginal discharge, discharge from the penis, pelvic pain, testicular pain[1]"
290,A54.0,Sintomas no encontrados
291,A54.1,Sintomas no encontrados
292,A54.2,Sintomas no encontrados
293,A54.3,Sintomas no encontrados
294,A54.4,Sintomas no encontrados
295,A54.5,"Sore throat, fever, runny nose, cough, headache, hoarse voice[1][2]"
296,A54.6,Sintomas no encontrados
297,A54.8,Sintomas no encontrados
298,A54.9,Sintomas no encontrados
299,A55,Sintomas no encontrados
300,A56,Sintomas no encontrados
301,A56.0,Sintomas no encontrados
302,A56.1,Sintomas no encontrados
303,A56.2,Sintomas no encontrados
304,A56.3,Sintomas no encontrados
305,A56.4,Sintomas no encontrados
306,A56.8,Sintomas no encontrados
307,A57,Sintomas no encontrados
308,A58,Sintomas no encontrados
309,A59,"Itching in the genital area, bad smelling thin vaginal discharge, burning with urination, pain with sex[1][2]"
310,A59.0,"Itching in the genital area, bad smelling thin vaginal discharge, burning with urination, pain with sex[1][2]"
311,A59.8,Sintomas no encontrados
312,A59.9,Sintomas no encontrados
313,A60,Sintomas no encontrados
314,A60.0,Sintomas no encontrados
315,A60.1,Sintomas no encontrados
316,A60.9,Sintomas no encontrados
317,A63,Sintomas no encontrados
318,A63.0,Sintomas no encontrados
319,A63.8,Sintomas no encontrados
320,A64,Sintomas no encontrados
321,A65,Sintomas no encontrados
322,A66,"Hard swelling of the skin, ulcer, joint and bone pain[6]"
323,A66.0,Sintomas no encontrados
324,A66.1,Sintomas no encontrados
325,A66.2,Sintomas no encontrados
326,A66.3,"Hard swelling of the skin, ulcer, joint and bone pain[6]"
327,A66.4,Sintomas no encontrados
328,A66.5,"Hard swelling of the skin, ulcer, joint and bone pain[6]"
329,A66.6,Sintomas no encontrados
330,A66.7,Sintomas no encontrados
331,A66.8,Sintomas no encontrados
332,A66.9,Sintomas no encontrados
333,A67,Sintomas no encontrados
334,A67.0,Sintomas no encontrados
335,A67.1,Sintomas no encontrados
336,A67.2,Sintomas no encontrados
337,A67.3,Sintomas no encontrados
338,A67.9,Sintomas no encontrados
339,A68,Sintomas no encontrados
340,A68.0,Sintomas no encontrados
341,A68.1,Sintomas no encontrados
342,A68.9,Sintomas no encontrados
343,A69,Sintomas no encontrados
344,A69.0,Sintomas no encontrados
345,A69.1,Sintomas no encontrados
346,A69.2,"Expanding area of redness at the site of a tick bite, fever, headache, tiredness[1]"
347,A69.8,Sintomas no encontrados
348,A69.9,Sintomas no encontrados
349,A70,Sintomas no encontrados
350,A71,"Eye pain, blindness[2]"
351,A71.0,Sintomas no encontrados
352,A71.1,Sintomas no encontrados
353,A71.9,Sintomas no encontrados
354,A74,Sintomas no encontrados
355,A74.0,Sintomas no encontrados
356,A74.8,Sintomas no encontrados
357,A74.9,Sintomas no encontrados
358,A75,"Fever, headache, rash[1]"
359,A75.0,Sintomas no encontrados
360,A75.1,Sintomas no encontrados
361,A75.2,Sintomas no encontrados
362,A75.3,Sintomas no encontrados
363,A75.9,Sintomas no encontrados
364,A77,Sintomas no encontrados
365,A77.0,Sintomas no encontrados
366,A77.1,Sintomas no encontrados
367,A77.2,Sintomas no encontrados
368,A77.3,Sintomas no encontrados
369,A77.8,Sintomas no encontrados
370,A77.9,Sintomas no encontrados
371,A78,Sintomas no encontrados
372,A79,Sintomas no encontrados
373,A79.0,fever
374,A79.1,Sintomas no encontrados
375,A79.8,Sintomas no encontrados
376,A79.9,Sintomas no encontrados
377,A80,Muscle weakness resulting in an inability to move[1]
378,A80.0,Sintomas no encontrados
379,A80.1,Sintomas no encontrados
380,A80.2,Sintomas no encontrados
381,A80.3,Sintomas no encontrados
382,A80.4,Sintomas no encontrados
383,A80.9,Sintomas no encontrados
384,A81,Sintomas no encontrados
385,A81.0,"Early: memory problems, behavioral changes, poor coordination, visual disturbances[4]Later: dementia, involuntary movements, blindness, weakness, coma[4]"
386,A81.1,"Behavior changes, seizures, spasticity, poor coordination, coma"
387,A81.2,Sintomas no encontrados
388,A81.8,Sintomas no encontrados
389,A81.9,Sintomas no encontrados
390,A82,"Fever, fear of water, confusion, excessive salivation, hallucinations, trouble sleeping, paralysis, coma[1][2]"
391,A82.0,Sintomas no encontrados
392,A82.1,Sintomas no encontrados
393,A82.9,Sintomas no encontrados
394,A83,Sintomas no encontrados
395,A83.0,"Headache, fever, vomiting, confusion, seizures[1]"
396,A83.1,Sintomas no encontrados
397,A83.2,"high fever, muscle pain, altered mental status, headache, meningeal irritation, photophobia, and seizures"
398,A83.3,Sintomas no encontrados
399,A83.4,Sintomas no encontrados
400,A83.5,Sintomas no encontrados
401,A83.6,Sintomas no encontrados
402,A83.8,Sintomas no encontrados
403,A83.9,Sintomas no encontrados
404,A84,Sintomas no encontrados
405,A84.0,Sintomas no encontrados
406,A84.1,Sintomas no encontrados
407,A84.8,Sintomas no encontrados
408,A84.9,Sintomas no encontrados
409,A85,Sintomas no encontrados
410,A85.0,Sintomas no encontrados
411,A85.1,Sintomas no encontrados
412,A85.2,Sintomas no encontrados
413,A85.8,Sintomas no encontrados
414,A86,Sintomas no encontrados
415,A87,Sintomas no encontrados
416,A87.0,Sintomas no encontrados
417,A87.1,Sintomas no encontrados
418,A87.2,Sintomas no encontrados
419,A87.8,Sintomas no encontrados
420,A87.9,Sintomas no encontrados
421,A88,Sintomas no encontrados
422,A88.0,Sintomas no encontrados
423,A88.1,Sintomas no encontrados
424,A88.8,Sintomas no encontrados
425,A89,Sintomas no encontrados
426,A92,Sintomas no encontrados
427,A92.0,"Fever, joint pain[2]"
428,A92.1,Sintomas no encontrados
429,A92.2,Sintomas no encontrados
430,A92.3,"None, fever, headache, vomiting or diarrhea and muscle aches rash[1]"
431,A92.4,"Fever, muscle pains, headaches[1]"
432,A92.5,"Fever, red eyes, joint pain, headache, maculopapular rash, Sometimes none[1][2][3]"
433,A92.8,Sintomas no encontrados
434,A92.9,Sintomas no encontrados
435,A93,Sintomas no encontrados
436,A93.0,Sintomas no encontrados
437,A93.1,Sintomas no encontrados
438,A93.2,Sintomas no encontrados
439,A93.8,Sintomas no encontrados
440,A94,Sintomas no encontrados
441,A95,"Fever, chills, muscle pain, headache, yellow skin[3]"
442,A95.0,Sintomas no encontrados
443,A95.1,Sintomas no encontrados
444,A95.9,Sintomas no encontrados
445,A96,Sintomas no encontrados
446,A96.0,Sintomas no encontrados
447,A96.1,Sintomas no encontrados
448,A96.2,"Fever, headaches, bleeding[1]"
449,A96.8,Sintomas no encontrados
450,A96.9,Sintomas no encontrados
451,A97,"Fever, headache, muscle and joint pain, rash[1][2]"
452,A97.0,Sintomas no encontrados
453,A97.1,Sintomas no encontrados
454,A97.2,"Fever, headache, muscle and joint pain, rash[1][2]"
455,A97.9,Sintomas no encontrados
456,A98,Sintomas no encontrados
457,A98.0,"Fever, muscle pains, headache, vomiting, diarrhea, bleeding into the skin[1]"
458,A98.1,Sintomas no encontrados
459,A98.2,Sintomas no encontrados
460,A98.3,"Fever, weakness, myalgias[1]"
461,A98.4,"Fever, sore throat, muscular pain, headaches, diarrhoea, bleeding[1]"
462,A98.5,Sintomas no encontrados
463,A98.8,Sintomas no encontrados
464,A99,Sintomas no encontrados
465,B00,Sintomas no encontrados
466,B00.0,Sintomas no encontrados
467,B00.1,Sintomas no encontrados
468,B00.2,Sintomas no encontrados
469,B00.3,Sintomas no encontrados
470,B00.4,Sintomas no encontrados
471,B00.5,Sintomas no encontrados
472,B00.7,Sintomas no encontrados
473,B00.8,Sintomas no encontrados
474,B00.9,Sintomas no encontrados
475,B01,Sintomas no encontrados
476,B01.0,Sintomas no encontrados
477,B01.1,Sintomas no encontrados
478,B01.2,"Small, itchy blisters, headache, loss of appetite, tiredness, fever[1]"
479,B01.8,Sintomas no encontrados
480,B01.9,Sintomas no encontrados
481,B02,Sintomas no encontrados
482,B02.0,Sintomas no encontrados
483,B02.1,Sintomas no encontrados
484,B02.2,Sintomas no encontrados
485,B02.3,Sintomas no encontrados
486,B02.7,Painful rash occurring in a stripe[1]
487,B02.8,Sintomas no encontrados
488,B02.9,Sintomas no encontrados
489,B03,"
Early: Fever, vomiting, mouth sores[5]
Later: Fluid filled blisters which scab over[5]
"
490,B04,"Fever, headache, muscle pains, blistering rash, swollen lymph nodes[1]"
491,B05,"Fever, cough, runny nose, inflamed eyes, rash[3][4]"
492,B05.0,Sintomas no encontrados
493,B05.1,Sintomas no encontrados
494,B05.2,Sintomas no encontrados
495,B05.3,Sintomas no encontrados
496,B05.4,Sintomas no encontrados
497,B05.8,Sintomas no encontrados
498,B05.9,Sintomas no encontrados
499,B06,Sintomas no encontrados
500,B06.0,Sintomas no encontrados
501,B06.8,Sintomas no encontrados
502,B06.9,Sintomas no encontrados
503,B07,"Painless, small, rough skin growth[1][3]"
504,B08,Sintomas no encontrados
505,B08.0,Sintomas no encontrados
506,B08.1,"Small, raised, pink lesions with a dimple in the center[1]"
507,B08.2,Sintomas no encontrados
508,B08.3,Sintomas no encontrados
509,B08.4,"Fever, flat discolored spots or bumps that may blister[1][2]"
510,B08.5,Sintomas no encontrados
511,B08.8,Sintomas no encontrados
512,B09,Sintomas no encontrados
513,B15,"Nausea, vomiting, diarrhea, dark urine, jaundice, fever, abdominal pain[1]"
514,B15.0,Sintomas no encontrados
515,B15.9,Sintomas no encontrados
516,B16,"None, yellowish skin, tiredness, dark urine, abdominal pain[1]"
517,B16.0,Sintomas no encontrados
518,B16.1,Sintomas no encontrados
519,B16.2,Sintomas no encontrados
520,B16.9,Sintomas no encontrados
521,B17,Sintomas no encontrados
522,B17.0,Sintomas no encontrados
523,B17.1,Sintomas no encontrados
524,B17.2,Sintomas no encontrados
525,B17.8,Sintomas no encontrados
526,B17.9,Sintomas no encontrados
527,B18,"Yellowish skin, poor appetite, abdominal pain[1][2]"
528,B18.0,Sintomas no encontrados
529,B18.00,Sintomas no encontrados
530,B18.09,Sintomas no encontrados
531,B18.1,Sintomas no encontrados
532,B18.10,Sintomas no encontrados
533,B18.19,Sintomas no encontrados
534,B18.2,Sintomas no encontrados
535,B18.8,Sintomas no encontrados
536,B18.9,Sintomas no encontrados
537,B19,Sintomas no encontrados
538,B19.0,Sintomas no encontrados
539,B19.9,Sintomas no encontrados
540,B20,Sintomas no encontrados
541,B20.0,Sintomas no encontrados
542,B20.1,Sintomas no encontrados
543,B20.2,Sintomas no encontrados
544,B20.3,Sintomas no encontrados
545,B20.4,Sintomas no encontrados
546,B20.5,Sintomas no encontrados
547,B20.6,Sintomas no encontrados
548,B20.7,Sintomas no encontrados
549,B20.8,Sintomas no encontrados
550,B20.9,Sintomas no encontrados
551,B21,Sintomas no encontrados
552,B21.0,Sintomas no encontrados
553,B21.1,Sintomas no encontrados
554,B21.2,Sintomas no encontrados
555,B21.3,Sintomas no encontrados
556,B21.7,Sintomas no encontrados
557,B21.8,Sintomas no encontrados
558,B21.9,Sintomas no encontrados
559,B22,Sintomas no encontrados
560,B22.0,Sintomas no encontrados
561,B22.1,Sintomas no encontrados
562,B22.2,Sintomas no encontrados
563,B22.7,Sintomas no encontrados
564,B23,Sintomas no encontrados
565,B23.0,Sintomas no encontrados
566,B23.1,Sintomas no encontrados
567,B23.2,Sintomas no encontrados
568,B23.8,Sintomas no encontrados
569,B24,Sintomas no encontrados
570,B25,Sintomas no encontrados
571,B25.0,Sintomas no encontrados
572,B25.1,Sintomas no encontrados
573,B25.2,Sintomas no encontrados
574,B25.8,Sintomas no encontrados
575,B25.9,Sintomas no encontrados
576,B26,"Parotitis and non-specific symptoms such as fever, headache, malaise, muscle pain, and loss of appetite"
577,B26.0,Sintomas no encontrados
578,B26.1,Sintomas no encontrados
579,B26.2,Sintomas no encontrados
580,B26.3,Sintomas no encontrados
581,B26.8,Sintomas no encontrados
582,B26.9,Sintomas no encontrados
583,B27,"Fever, sore throat, enlarged lymph nodes in the neck, tiredness[2]"
584,B27.0,Sintomas no encontrados
585,B27.1,Sintomas no encontrados
586,B27.8,Sintomas no encontrados
587,B27.9,Sintomas no encontrados
588,B30,"Reddish eye, scratchiness[1]"
589,B30.0,Sintomas no encontrados
590,B30.1,Sintomas no encontrados
591,B30.2,Sintomas no encontrados
592,B30.3,Sintomas no encontrados
593,B30.8,Sintomas no encontrados
594,B30.9,Sintomas no encontrados
595,B33,Sintomas no encontrados
596,B33.0,"intermittent pleuritic chest pain, intermittent abdominal pain, fever"
597,B33.1,Sintomas no encontrados
598,B33.2,Sintomas no encontrados
599,B33.3,Sintomas no encontrados
600,B33.4,Sintomas no encontrados
601,B33.8,Sintomas no encontrados
602,B34,Sintomas no encontrados
603,B34.0,Sintomas no encontrados
604,B34.1,Sintomas no encontrados
605,B34.2,Sintomas no encontrados
606,B34.3,Sintomas no encontrados
607,B34.4,Sintomas no encontrados
608,B34.8,Sintomas no encontrados
609,B34.9,Sintomas no encontrados
610,B35,"Red, itchy, scaly, circular skin rash[1]"
611,B35.0,Sintomas no encontrados
612,B35.1,"White or yellow nail discoloration, thickening of the nail[2][3]"
613,B35.2,"Diffuse scaling, itch and prominent creases on palms[2]"
614,B35.3,"Itching, scaling, redness of the foot[3]"
615,B35.4,Sintomas no encontrados
616,B35.5,Sintomas no encontrados
617,B35.6,Sintomas no encontrados
618,B35.8,Sintomas no encontrados
619,B35.9,Sintomas no encontrados
620,B36,Sintomas no encontrados
621,B36.0,Sintomas no encontrados
622,B36.1,"One or more dark brown/black, painless spots on palms or soles[3]"
623,B36.2,Sintomas no encontrados
624,B36.3,Sintomas no encontrados
625,B36.8,Sintomas no encontrados
626,B36.9,Sintomas no encontrados
627,B37,"White patches or vaginal discharge, itching[2][3]"
628,B37.0,"White patches or vaginal discharge, itching[2][3]"
629,B37.1,Sintomas no encontrados
630,B37.2,Sintomas no encontrados
631,B37.3,Sintomas no encontrados
632,B37.4,Sintomas no encontrados
633,B37.5,Sintomas no encontrados
634,B37.6,Sintomas no encontrados
635,B37.7,Sintomas no encontrados
636,B37.8,Sintomas no encontrados
637,B37.9,Sintomas no encontrados
638,B38,Sintomas no encontrados
639,B38.0,Sintomas no encontrados
640,B38.1,Sintomas no encontrados
641,B38.2,Sintomas no encontrados
642,B38.3,Sintomas no encontrados
643,B38.4,Sintomas no encontrados
644,B38.7,Sintomas no encontrados
645,B38.8,Sintomas no encontrados
646,B38.9,Sintomas no encontrados
647,B39,Sintomas no encontrados
648,B39.0,Sintomas no encontrados
649,B39.1,Sintomas no encontrados
650,B39.2,Sintomas no encontrados
651,B39.3,Sintomas no encontrados
652,B39.4,Sintomas no encontrados
653,B39.5,Sintomas no encontrados
654,B39.9,Sintomas no encontrados
655,B40,Sintomas no encontrados
656,B40.0,Sintomas no encontrados
657,B40.1,Sintomas no encontrados
658,B40.2,Sintomas no encontrados
659,B40.3,Sintomas no encontrados
660,B40.7,Sintomas no encontrados
661,B40.8,Sintomas no encontrados
662,B40.9,Sintomas no encontrados
663,B41,"Fever, sepsis, weight loss, large glands, large liver and spleen,[4] mouth ulcers, skin lesions.[5]"
664,B41.0,Sintomas no encontrados
665,B41.7,Sintomas no encontrados
666,B41.8,Sintomas no encontrados
667,B41.9,Sintomas no encontrados
668,B42,Firm painless nodules that later ulcerate.[3]
669,B42.0,Sintomas no encontrados
670,B42.1,Sintomas no encontrados
671,B42.7,Sintomas no encontrados
672,B42.8,Sintomas no encontrados
673,B42.9,Sintomas no encontrados
674,B43,Sintomas no encontrados
675,B43.0,Sintomas no encontrados
676,B43.1,Sintomas no encontrados
677,B43.2,Sintomas no encontrados
678,B43.8,Sintomas no encontrados
679,B43.9,Sintomas no encontrados
680,B44,Sintomas no encontrados
681,B44.0,Sintomas no encontrados
682,B44.1,Sintomas no encontrados
683,B44.2,Sintomas no encontrados
684,B44.7,Sintomas no encontrados
685,B44.8,Sintomas no encontrados
686,B44.9,Sintomas no encontrados
